Datetime,Tweet Id,Text,Username
2022-10-06 12:01:42+00:00,1577992490547924999,"FÜ'DE SAĞLIK BİLİMLERİ ÖĞRENCİLERİ İÇİN EĞİTİM DÜZENLENDİ

@firatresmihesap
@ProfGoktas 

#elazığ #fıratüniversitesi #eğitim 

https://t.co/wmTgL8PAVf",elazigwebhaber
2022-10-06 11:57:52+00:00,1577991526281510919,"FÜ'DE 1. SINIF ÖĞRENCİLERİNE ORYANTASYON PROGRAMI DÜZENLENDİ

@firatresmihesap
@ProfGoktas 

#elazığ #fıratüniversitesi #oryantasyon 

https://t.co/IzbPPW3mSX",elazigwebhaber
2022-10-06 11:45:38+00:00,1577988447633031168,".

Fırat Üniversitesi Devlet Konservatuvar öğrencileri (2008)

""Mardin kapısından atlayamadım, 
O yâre mektup yazdım yollayamadım.""

. https://t.co/GcX1XjpTbZ",Kara_dagli3434
2022-10-06 10:44:23+00:00,1577973036644433920,"Ayrıntılı bilgi için tıklayınız. 
https://t.co/ushxo2JD8o https://t.co/mzfjOCwpZZ",fu_muh_1967
2022-10-06 08:50:52+00:00,1577944468497596419,@fdevrimyilmaz sen okumuyordun ama senin gibiler sustular her yere apo posterleri asıldı. bak bu ege üniversitesi. senin beğenmediğin Fırat Yılmaz Çakıroğlu'nun şehit edildiği yer https://t.co/mFxW7Pd4fp,yagizxox
2022-10-06 08:15:34+00:00,1577935583799820289,"#FıratÜniversitesi’nde birinci sınıf öğrencilerine yönelik #oryantasyon programı düzenlendi.
https://t.co/8IoiU8Q4JB",haberyirmiuc
2022-10-06 07:59:19+00:00,1577931493921492999,"Fırat kıyılarından toplanan 27 bin adet doğal taşın kullanıldığı ve 3,81'e 7,65 metre ebatı ile tek parçada meydana getirilmiş dünyanın en büyük çingene kızı mozaik replikası Hacettepe Üniversitesi Kütüphanesinde yerini aldı. https://t.co/K3NMspz1WT",GaziantepBeld
2022-10-06 07:58:02+00:00,1577931173178839040,"Üniversitemizde 2022-2023 akademik yılı Oryantasyon Eğitimi Rektörümüz Prof. Dr. Fahrettin Göktaş’ın katılımıyla gerçekleşti.

Programda ailemize yeni katılan öğrencileremize Üniversitemiz hakkında çeşitli bilgiler verildi. https://t.co/r6ZxCUnu0a",firatresmihesap
2022-10-05 20:56:34+00:00,1577764709105045504,"Fırat Üniversitesi'nden oryantasyon programı! Yeni başlayan öğrencilere Fırat Üniversitesi hakkında bilgiler aktarıldı

🔗https://t.co/ujRIFFRvc7

@firatresmihesap https://t.co/B8iHTrzB7o",elazigonline
2022-10-05 18:08:11+00:00,1577722332755496979,"@unibilgi Yıldız Teknik Üniversitesi 
4.5 tl
10 üzerinden 2",hilallfirat
2022-10-05 17:59:46+00:00,1577720216657747968,"Üniversitemiz Hayvanları Koruma Topluluğu tarafından 4 Ekim Hayvanları Koruma Günü dolayısıyla gerçekleştirilen etkinlikte anaokulu, lise ve üniversite öğrencileri bir araya gelerek sokak hayvanları için ev yaptı. https://t.co/XfczpP7IU1",firatresmihesap
2022-10-05 17:10:54+00:00,1577707915938406401,"Fırat kıyılarından toplanan 27 bin adet doğal taşın kullanıldığı ve 3,81'e 7,65 metre ebatı ile tek parçada meydana getirilmiş dünyanın en büyük Çingene Kızı mozaik replikası Hacettepe Üniversitesi Kütüphanesinde yerini aldı. https://t.co/a7QxFpusB0",gazikulturas
2022-10-05 16:14:59+00:00,1577693844438663168,"@unibilgi Fırat üniversitesi
9 TL
2/10",kadersizimdir
2022-10-05 16:14:42+00:00,1577693775329198083,"📌 Ankara

Valimiz Davut Gül ve Büyükşehir Beld. Bşk. Fatma Şahin ile birlikte Fırat kıyılarından toplanan 27.000 adet doğal taştan meydana getirilmiş dünyanın en büyük ‘Çingene Kızı Mozaik Replikası’nın Hacettepe Üniversitesi’nde düzenlenen açılış törenine katıldı. https://t.co/zRTuIQXrwD",drtasdogan
2022-10-05 16:04:15+00:00,1577691144548503552,"Fırat Üniversitesi’ni Kazanan Öğrenciler İçin ‘Oryantasyon Eğitimi’ Düzenlendi

https://t.co/w3qlR0r0Ob https://t.co/qffyyGawNA",elazigsonhaber
2022-10-05 15:13:45+00:00,1577678435664756737,"Valimiz Davut Gül, Fırat kıyılarından toplanan 27.000 adet doğal taşın kullanıldığı ve 3,81’e 7,65 metre ebatıyla tek parçadan meydana getirilmiş dünyanın en büyük ‘Çingene Kızı Mozaik Replikası’nın Hacettepe Üniversitesi’nde düzenlenen açılış törenine katıldı. https://t.co/e3Nyc8J8fW",gantepvaliligi
2022-10-05 12:39:29+00:00,1577639611333058560,"Aksaray Gençlik Deplasmanda Fırat Üniversitesi Evinde 
https://t.co/0bf51w6nXI",haberkent23
2022-10-05 10:28:58+00:00,1577606765394493440,"Ankara Üniversitesi profesör kadrosuna atanan, fakültemiz öğretim üyeleri Prof. Dr. Ferda Gürsel ve Prof. Dr. Fırat Akça' ya profesörlük belgelerini takdim ettiler.

Hocalarımızı tebrik ediyor, başarılar diliyoruz.

#ankaraüniversitesi

@AnkaraUni @necdetunuvar @semiyhatuncel https://t.co/U9iE37ZF8o",ankarasporbilim
2022-10-05 07:53:27+00:00,1577567628771688450,Ankara Hacı Bayram Veli Üniversitesi olarak Akademik yıl açılışını YÖKAK Başkanı Prof. Dr. Muhsin Kar hocamızın dersi ile gerçekleştirdik. Tüm meslektaşlarıma ve gençlerimize hayırlı ve bereketli bir eğitim öğretim yılı olmasını dilerim. https://t.co/KfaMjWHhx7,FiratPurtas
2022-10-05 07:49:30+00:00,1577566634444832769,"GençUpshift başvuruları 14 Ekime kadar uzatıldı.

Sizlerde hemen başvurarak, kendi fikirlerinizi hayata geçirme fırsatı yakalayın!!!
@GSB_ElazigGM

🔗Başvuru ve detaylı bilgi için :  https://t.co/WZwb1cibbf https://t.co/OCmqmKlXdw",fu_ogrenci
2022-10-05 05:56:13+00:00,1577538125542277121,"4 Ekim Hayvanları Koruma Haftası kapsamında düzenlediğimiz etkinliklere hız kesmeden devam ediyoruz. 
Mama dağıtımı etkinliğimize herkesi bekliyoruz.

#HayvanlarıKorumaGünü https://t.co/1meIAkRtQO",fu_ogrenci
2022-10-04 20:52:42+00:00,1577401345660883002,"Üniversitemize yeni katılan öğrencilerimize yönelik Oryantasyon Eğitimi düzenlenecektir.

Yeni başlayan tüm öğrencilerimiz davetlidir. 🤗

🗓5 Ekim 2022, Çarşamba
🕑14.00
📍Fırat Üniversitesi Atatürk Kültür Merkezi

#FıratÜniversitesi #Elazığ https://t.co/saHta6dFQw",fu_ogrenci
2022-10-04 19:46:55+00:00,1577384793003757571,Fırat üniversitesi hayvanları koruma topluluğu tarafından 4 Ekim Hayvanları Koruma Günü sebebiyle sokak kedileri için evler yapıldı. Yapılan evler öğrencilerimiz tarafından belirli yerlere bırakıldı. https://t.co/sjnmVBqL9F,elazigbahcsehir
2022-10-04 19:38:23+00:00,1577382642776948736,4 Ekim Dünya Hayvanları Koruma Günü kapsamında Fırat Üniversitesi Veterinerlik Fakültesi tarafından düzenlenen kedi evi yapma etkinliğine katılım sağladık. Bu farkındalık dolu etkinlik için Prof.Dr. Abdullah Özen ve Prof.Dr. Mehmet Çalıcıoğlu'na teşekkür ederiz @elazigbahcsehir https://t.co/Nwyn5UTsow,snnpltbjk
