,0
fırat,44376
üniversitesi,38918
ve,11634
elazığ,10984
at,9210
im,9123
ege,6418
üniversitesinde,5831
in,5629
bir,4664
yılmaz,4531
şehit,4377
türkiye,4343
fakültesi,4257
için,4195
w,3794
ile,3263
dr,3221
tarafından,2734
prof,2536
bu,2505
çakıroğlu,2461
mühendisliği,2204
de,2160
olsun,2088
hastanesi,2033
olan,2002
edilen,1981
eğitim,1757
yıl,1750
olarak,1736
öğretim,1673
tıp,1642
rektörü,1633
çakıroğlunu,1618
rahmet,1613
bölümü,1539
others,1474
öğrencisi,1433
hastanesinde,1427
anıyoruz,1406
var,1403
öğrenci,1382
pkklı,1375
şubat,1368
araştırma,1356
da,1270
üyesi,1228
ülkücü,1178
çakıroğlunun,1162
çok,1151
devam,1087
üniversite,1084
öğrencileri,1027
ziyaret,992
başkanı,963
şehadetinin,961
şehidimiz,925
sınıf,924
rahmetle,897
sayın,896
tarih,882
son,879
dönümünde,867
spor,854
yeni,840
elazığda,839
daha,834
izmir,820
ihtiyaç,818
rh,806
oldu,795
kütüphanesi,785
en,783
ilk,779
bilimler,773
mühendislik,768
ülkü,757
kana,757
tüm,755
a,750
etti,736
günü,730
iletişim,725
sağlık,720
green,720
ne,715
house,715
cennet,708
bugün,696
öğrenim,691
gördüğü,690
rektör,686
yüksekokulu,686
istanbul,684
saldırısı,680
üniversitesinin,679
arasında,678
teröristler,677
anıyorum,675
il,673
veteriner,670
sosyal,668
teröristlerce,662
ocakları,659
acil,653
terör,651
teşekkür,647
firat,630
önce,618
türk,613
elektrik,607
her,601
kutbeddin,600
üniversitesinden,597
pkk,587
elektronik,585
yabancı,581
kan,575
başkanımız,572
sonucu,565
çakiroğlunu,561
yılında,559
saat,558
eli,556
dualarla,553
aracılığıyla,547
enes,545
kanlı,543
teröristlerin,540
gün,519
sn,515
eğitimine,513
merkezi,512
birlikte,512
mehmet,512
üniversitesine,506
demirdağ,503
fahrettin,498
ederken,497
kadar,496
düzenlenen,493
sonucunda,493
öğrenciler,491
kültür,489
ders,487
teknoloji,487
tarihinde,484
eden,481
o,477
hayatını,477
gibi,475
yer,474
hain,473
büyük,473
ben,471
programı,468
biz,466
minnet,464
fü,462
şad,461
iyi,459
genel,454
eğitimi,452
diller,449
üniversitesindeki,447
ilgili,447
çevre,446
kalleş,444
ediyor,443
akademik,442
kapsamında,440
örgütü,434
makine,433
bölücü,429
tedavi,427
haber,423
ama,421
profdr,421
edildi,420
değil,419
güzel,412
çıkan,411
idari,411
görevlisi,411
olduğu,409
sonra,408
mezuniyet,408
personel,407
hayırlı,400
tebrik,399
hasta,399
cemaat,394
yok,393
anma,389
ki,389
dolayı,388
bilgi,388
genç,386
silahlı,385
arkadaşımız,384
doç,376
destek,374
ruhu,373
teknik,373
gençlik,373
mekanı,370
devlet,368
bilim,368
diliyorum,367
dava,366
mezun,363
mi,362
göktaş,359
diye,357
fen,356
fatihalarla,348
bilgisayar,348
pozitif,347
lütfen,344
yapıldı,343
başladı,340
sınav,339
tek,338
ankara,338
iktisadi,337
yazılım,336
iş,336
fıratın,332
kara,331
yüksek,330
değerli,327
olmak,327
başarılar,325
ilanı,324
yılı,323
katıldı,322
vardır,321
yapılan,319
kampüsünde,318
ahmet,315
rektörlük,315
bin,313
nedeniyle,313
hakkında,313
kampüsü,313
alanı,312
gelen,312
çakiroğlu,311
allahtan,311
meslek,310
atatürk,309
milli,309
lisans,309
ediyorum,309
yine,306
uluslararası,305
proje,303
allah,301
üzere,300
ediyoruz,300
öğrencilerin,299
yiğit,298
rektörümüz,296
geldi,295
mart,295
aldı,295
uzaktan,295
konferans,294
hocam,294
ihtiyacı,294
edebiyat,290
ederiz,290
saldırı,288
mustafa,287
düzenlendi,286
iki,285
salonu,285
topluluğu,284
bilimleri,282
verdi,282
ya,281
ederek,280
başarılı,279
eski,279
yaptı,277
olacak,276
fakültesinde,275
alım,275
alacak,275
makamında,275
senei,274
geçen,274
b,274
kurulu,273
mı,272
töreni,271
yapan,271
sözleşmeli,269
intihar,267
te,266
gazi,264
devriyesinde,262
ab,262
bekliyoruz,260
bıçaklanarak,259
dünya,258
yaşındaki,257
hastanesindeki,257
bulundu,255
yaptığı,255
terörist,254
ettik,253
ardından,252
yardımcısı,251
dalı,251
ev,250
okul,250
isimli,250
elaziğ,250
gören,249
imza,249
kişi,247
özel,246
bulunan,246
turkiye,246
üniversitesini,244
üniversitemiz,243
üniversiteler,243
ölüm,242
türkiyede,241
karanın,241
yoğun,241
göre,240
ise,239
sen,238
kaybeden,238
konulu,237
online,237
kardeşimiz,236
alan,236
artık,235
başhekimi,235
rektörlüğü,232
şenlik,231
yönetim,230
besyo,230
güvenlik,228
bi,227
teşekkürler,226
öğrencilerine,226
saygı,225
projesi,223
yatmakta,223
önemli,222
alındı,222
öğrencilere,222
minnetle,220
kariyer,220
neden,219
boğaziçi,218
negatif,218
ilahiyat,217
turgut,215
grup,214
yolsuzluk,214
kabul,214
ali,213
alımı,213
açıklama,213
çıktı,212
marmara,212
elde,211
başkanlığı,211
gelecek,210
vatan,209
iddialarını,209
teşkilat,209
araya,209
yalanladı,208
rt,208
yaralı,207
i,206
tübitak,206
az,205
eylül,205
istiyoruz,204
bütün,204
kavgada,204
audileri,204
okulu,204
dönem,203
türkiyenin,203
verildi,201
merkez,201
kampüs,200
hainler,199
doktora,199
bingöl,198
zaman,197
yurdunda,197
ruhun,197
akademisyen,197
başarı,195
aynı,195
ederim,194
kutlu,194
sadece,193
hiç,193
farkında,193
d,192
kulübü,192
deprem,191
ekim,191
mezunu,190
adı,190
herkes,189
final,189
bahar,189
yarın,189
böyle,189
kasım,189
karşıt,188
fakülte,188
inşaat,188
mekanın,188
belediye,188
öldürülen,188
karşı,187
kaldığı,187
bekliyor,187
geçmiş,187
insan,187
fotoğraf,186
anabilim,186
mayıs,185
müdürü,185
olur,184
diliyoruz,183
ocak,183
hasan,182
önünde,182
elâzığ,181
başkan,180
canlı,180
nde,180
harput,179
öğrencinin,178
yönelik,178
myo,178
kadın,176
bölge,176
e,176
nasıl,176
personeli,176
çalışan,175
okuyan,175
trombosit,175
sınavı,175
çarpıştırıp,175
parçacık,175
sakarya,174
hafta,173
başvuru,173
birliği,173
diş,173
mağdur,172
mücadele,172
katledilen,171
nisan,171
kıymetli,171
etkinliği,171
hastanesine,171
bizim,170
şu,170
benim,170
bile,170
bölüm,169
şehadet,169
yıldırım,168
ailesine,168
kapalı,168
fıratüniversitesi,167
merkezinde,167
kazanan,167
gazal,166
işbirliği,166
babası,166
akdeniz,166
üyeleri,166
imzalandı,166
kayıt,165
anadolu,165
veren,165
kavga,164
polis,164
adına,163
malatya,163
ihtiyacıiletişim,163
kanal,163
okurken,163
cumhuriyet,162
sene,161
biri,161
tarihi,161
alanında,161
dakika,160
siz,160
ülkücüleri,159
programına,159
dekanı,159
çocuk,158
medya,158
içinde,158
diğer,157
edecektik,157
ibrahim,157
emeği,157
şimdi,156
müdürlüğü,156
dilerim,155
atanan,155
görüşlü,154
ver,154
çakıroğluna,154
öğrencilerinden,154
sesimizi,154
teşkilatımız,153
bize,153
hekimliği,153
kaybetti,152
nurullah,152
inönü,152
gerçekleştirildi,152
sahip,152
video,152
iptal,152
görev,152
arkadaşlar,151
park,151
üzerine,151
bölümünde,150
pkklılar,150
edilmiştir,150
koç,150
vefat,150
ettiler,150
dün,148
karar,148
yaşamına,146
kalan,146
kalkınma,145
salonunda,145
kardeşim,144
kahpece,144
futbol,144
rağmen,144
başsağlığı,144
hayvan,144
kararını,144
uygulama,143
adını,143
su,143
dileriz,143
aile,143
can,143
gerçekleştirdik,143
hifzullah,143
davetlidir,142
tam,142
şey,142
sabah,142
jeoloji,141
akşam,141
seni,141
hocamız,141
ikinci,141
bulunduk,141
olduğunu,141
öğrencilerimiz,140
ziyaretinde,140
selçuk,140
öğrencilerinin,140
yazan,139
alınan,139
cumhurbaşkanlığı,139
hava,139
müh,139
eylesin,138
ana,138
zorla,138
kız,138
tanıtım,137
hastane,137
açıldı,137
sağolsun,137
kez,137
tl,136
dış,136
gsk,136
erdoğan,136
gençler,136
bölgesel,135
katili,135
protokolü,135
takımı,135
beril,135
ay,135
öğrencilerini,135
demirdağı,134
covid,134
